Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Nothing,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
02/17/2018,3.8,-4,-0.3,-7.3,,0.1,0,0,9.3,160,14.1,6,76.1,85.34,Rain, Overcast
02/18/2018,1.9,-1.1,0.3,-3.3,,0.98,0,0,15.4,268.79,17.5,11.7,89.1,77.06,Rain, Overcast
02/19/2018,2.1,-4,-0.8,-9.2,,0,0,0,19,60.58,21,17.5,51.9,65.75,,Partially cloudy
02/20/2018,-0.8,-6.1,-3.3,-12.8,,0,0,0,23.2,46.29,24.9,9.3,76.9,80.76,,Overcast
02/21/2018,-2.3,-5.2,-3.4,-9.6,,0,0,0,14.1,69.92,17.5,8.7,87.7,84.23,,Overcast
02/22/2018,-2,-3.2,-2.7,-9.2,,0,0,0,23.4,43.58,46.8,10,93.4,79.42,,Overcast
02/23/2018,-2.9,-6,-4,-11.2,,0.1,0,0,21.7,61.04,35.4,8.8,90.7,81.09,Rain, Overcast
02/24/2018,-4,-11.1,-7.6,-16.7,,0.66,0,0,20.6,174.75,45.4,8.2,65.8,78.26,Rain, Partially cloudy
02/25/2018,-10,-13.2,-11.9,-19.1,,0.58,0,0,16.4,123.21,31.1,10.8,75.7,73.87,Rain, Overcast
02/26/2018,-9.2,-13,-11.5,-21.8,,0.1,0,0,21.8,48.63,27.3,8.8,81.9,76.04,Rain, Overcast
02/27/2018,-10.8,-13.8,-12.2,-23.5,,0.2,0,0,31.7,46.42,43.2,9.8,89.6,73.77,Rain, Overcast
02/28/2018,-9.9,-13.1,-11.4,-22.5,,0.5,0,0,25.4,51.75,43.2,8.6,85.3,76.23,Rain, Overcast
03/01/2018,-8.1,-17.3,-12.5,-20.6,,0.1,0,0,19.2,73.71,36,6.4,16.7,76.31,,Rain
03/02/2018,-5.9,-16,-10.8,-24,,0,0,0,25.1,42.88,28.8,7.7,41.1,72.32,,Partially cloudy
03/03/2018,-5.9,-16.1,-10.9,-20.5,,0.1,0,0,12.5,72.08,13.8,8.8,16.5,70.25,Rain, 
03/04/2018,-1.1,-16.1,-8.5,-20.6,,0,0,0,11.9,94.96,13.9,5.5,13,68.28,,Clear
03/05/2018,4.9,-10.3,-2.4,-15.9,,0,0,0,13.5,56.38,13.9,6,49.1,65.76,,Partially cloudy
03/06/2018,5.8,-0.7,1.8,-2.7,,0.31,0,0,16.9,67.71,17.4,5.2,87.6,79.33,Rain, Overcast
03/07/2018,8,-0.9,3.2,-4.3,,0,0,0,24.4,187.25,46.8,4.9,77.4,85.35,,Overcast
03/08/2018,9.7,-1.8,3.7,1.1,,0,0,0,30.4,210.5,36,10.5,38.8,76.63,,Partially cloudy
03/09/2018,9.8,-3,2.8,-5.6,,1,0,0,33.5,190.54,52.9,12.6,34.3,73.68,Rain, Partially cloudy
03/10/2018,12.8,-2.9,4.8,-5.3,,0,0,0,10.1,136.42,32.4,11.3,65.8,75.92,,Partially cloudy
03/11/2018,16,0,7.8,-2.1,,0,0,0,14.6,72.25,36,12.4,50.7,72.21,,Partially cloudy
03/12/2018,16.8,6.4,10.6,4.1,,3,0,0,34.7,135.5,64.8,19.4,65.8,67.69,Rain, Partially cloudy
03/13/2018,13.9,5.9,9.3,3.5,,0.3,0,0,28.9,227.42,64.8,21.6,72.2,71.1,Rain, Partially cloudy
03/14/2018,7.9,3.1,4.9,0.8,,0.43,0,0,19.2,222.25,36,8.3,86.5,87.29,Rain, Overcast
03/15/2018,5.9,1,3.4,-3.2,,2,0,0,18.1,87.58,17.7,8.8,69.5,86.67,Rain, Partially cloudy
